"행정구역","2013년02월_총인구수","2013년02월_세대수","2013년02월_세대당 인구","2013년02월_남자 인구수","2013년02월_여자 인구수","2013년02월_남여 비율"
"전국  (1000000000)","50,991,003","20,248,440","          2.52","25,523,833","25,467,170","          1.00"
"서울특별시  (1100000000)","10,196,434","4,181,574","          2.44","5,039,921","5,156,513","          0.98"
"부산광역시  (2600000000)","3,539,455","1,392,593","          2.54","1,754,758","1,784,697","          0.98"
"대구광역시  (2700000000)","2,505,040","950,116","          2.64","1,248,840","1,256,200","          0.99"
"인천광역시  (2800000000)","2,850,543","1,100,751","          2.59","1,434,674","1,415,869","          1.01"
"광주광역시  (2900000000)","1,470,969","556,633","          2.64","729,362","741,607","          0.98"
"대전광역시  (3000000000)","1,527,383","577,469","          2.64","764,912","762,471","          1.00"
"울산광역시  (3100000000)","1,148,713","423,523","          2.71","591,328","557,385","          1.06"
"세종특별자치시  (3600000000)","115,269","47,246","          2.44","58,788","56,481","          1.04"
"경기도  (4100000000)","12,123,024","4,651,451","          2.61","6,105,695","6,017,329","          1.01"
"강원도  (4200000000)","1,536,718","654,835","          2.35","773,279","763,439","          1.01"
"충청북도  (4300000000)","1,565,697","634,382","          2.47","789,423","776,274","          1.02"
"충청남도  (4400000000)","2,031,839","844,895","          2.40","1,028,533","1,003,306","          1.03"
"전라북도  (4500000000)","1,872,311","761,049","          2.46","932,775","939,536","          0.99"
"전라남도  (4600000000)","1,907,027","808,704","          2.36","953,187","953,840","          1.00"
"경상북도  (4700000000)","2,696,802","1,126,942","          2.39","1,354,904","1,341,898","          1.01"
"경상남도  (4800000000)","3,318,548","1,303,194","          2.55","1,670,391","1,648,157","          1.01"
"제주특별자치도  (5000000000)","585,231","233,083","          2.51","293,063","292,168","          1.00"
