,sido,temp,humi
0,강릉,17.7,16
1,강진군,16.5,15
2,강화,10.5,64
3,거제,14.2,41
4,거창,16.2,23
5,경주시,19.3,12
6,고산,12.8,52
7,고창,13.7,8
8,고창군,14.8,12
9,고흥,17.4,14
10,광양시,17.9,17
11,광주,16.2,5
12,구미,17.1,13
13,군산,12.3,23
14,금산,14.3,13
15,김해시,16.1,43
16,남원,14.8,12
17,남해,18.0,18
18,대관령,9.0,19
19,대구,18.6,12
20,대전,14.5,11
21,동두천,13.0,31
22,동해,17.1,12
23,목포,13.4,18
24,문경,15.0,13
25,밀양,20.1,7
26,백령도,12.8,20
27,보령,11.4,31
28,보성군,16.5,27
29,보은,15.0,17
30,봉화,13.7,15
31,부산,15.2,46
32,부안,13.1,19
33,부여,15.1,14
34,북강릉,16.4,13
35,북부산,15.4,42
36,북창원,18.1,29
37,북춘천,14.7,22
38,산청,16.9,16
39,상주,16.4,13
40,서귀포,17.6,40
41,서산,13.2,35
42,서울,13.3,38
43,성산,16.5,17
44,세종,14.0,12
45,속초,16.0,16
46,수원,12.3,40
47,순창군,14.8,12
48,순천,15.5,14
49,안동,16.0,11
50,양산시,16.7,36
51,양평,14.1,15
52,여수,18.3,11
53,영광군,13.6,15
54,영덕,16.8,11
55,영월,13.7,13
56,영주,13.7,14
57,영천,17.3,14
58,완도,16.6,21
59,울릉도,12.3,52
60,울산,14.9,38
61,울진,17.4,14
62,원주,13.8,13
63,의령군,18.8,13
64,의성,17.2,13
65,이천,13.7,20
66,인제,13.9,19
67,인천,10.7,56
68,임실,13.9,12
69,장수,13.0,20
70,장흥,16.2,16
71,전주,14.1,17
72,정선군,12.5,16
73,정읍,13.5,18
74,제주,16.5,40
75,제천,13.0,16
76,진도군,13.2,25
77,진주,19.1,15
78,창원,16.0,33
79,천안,14.5,14
80,철원,13.2,28
81,청송군,15.9,8
82,청주,15.8,13
83,추풍령,14.6,12
84,춘천,14.4,18
85,충주,14.3,11
86,태백,9.8,18
87,통영,15.2,50
88,파주,12.6,52
89,포항,18.8,10
90,함양군,16.8,10
91,합천,18.8,14
92,해남,14.9,20
93,홍성,13.3,26
94,홍천,14.3,16
95,흑산도,10.7,41
