입국자국가,국가코드,입국연월,입국자 수
미국,275,200501,34769
미국,275,200502,31561
미국,275,200503,42056
미국,275,200504,49877
미국,275,200505,48940
미국,275,200506,54938
미국,275,200507,50295
미국,275,200508,44981
미국,275,200509,43233
미국,275,200510,51017
미국,275,200511,40001
미국,275,200512,38965
미국,275,200601,34473
미국,275,200602,33529
미국,275,200603,42941
미국,275,200604,49404
미국,275,200605,53891
미국,275,200606,56597
미국,275,200607,51960
미국,275,200608,48139
미국,275,200609,45797
미국,275,200610,55655
미국,275,200611,41924
미국,275,200612,41394
미국,275,200701,38585
미국,275,200702,34096
미국,275,200703,47861
미국,275,200704,53638
미국,275,200705,54078
미국,275,200706,59931
미국,275,200707,55330
미국,275,200708,49787
미국,275,200709,48414
미국,275,200710,56871
미국,275,200711,43970
미국,275,200712,44763
미국,275,200801,40734
미국,275,200802,39969
미국,275,200803,49218
미국,275,200804,55179
미국,275,200805,57243
미국,275,200806,59371
미국,275,200807,55962
미국,275,200808,51090
미국,275,200809,50146
미국,275,200810,60698
미국,275,200811,43802
미국,275,200812,46671
미국,275,200901,42950
미국,275,200902,40772
미국,275,200903,51251
미국,275,200904,52578
미국,275,200905,55945
미국,275,200906,58832
미국,275,200907,56395
미국,275,200908,55877
미국,275,200909,47219
미국,275,200910,59591
미국,275,200911,44346
미국,275,200912,45571
미국,275,201001,43065
미국,275,201002,41077
미국,275,201003,54610
미국,275,201004,59616
미국,275,201005,59780
미국,275,201006,64412
미국,275,201007,59443
미국,275,201008,56377
미국,275,201009,56304
미국,275,201010,63956
미국,275,201011,49082
미국,275,201012,45167
미국,275,201101,44152
미국,275,201102,43500
미국,275,201103,54135
미국,275,201104,58220
미국,275,201105,61077
미국,275,201106,61208
미국,275,201107,60522
미국,275,201108,57817
미국,275,201109,56103
미국,275,201110,65158
미국,275,201111,51094
미국,275,201112,48517
미국,275,201201,46745
미국,275,201202,47926
미국,275,201203,55907
미국,275,201204,64385
미국,275,201205,64972
미국,275,201206,66049
미국,275,201207,61855
미국,275,201208,58127
미국,275,201209,57819
미국,275,201210,71213
미국,275,201211,53249
미국,275,201212,49619
미국,275,201301,49071
미국,275,201302,45102
미국,275,201303,63216
미국,275,201304,65260
미국,275,201305,65251
미국,275,201306,70198
미국,275,201307,63323
미국,275,201308,59353
미국,275,201309,62646
미국,275,201310,72149
미국,275,201311,53894
미국,275,201312,52852
미국,275,201401,50347
미국,275,201402,48546
미국,275,201403,65001
미국,275,201404,70195
미국,275,201405,67928
미국,275,201406,74925
미국,275,201407,68180
미국,275,201408,63982
미국,275,201409,69655
미국,275,201410,77836
미국,275,201411,58709
미국,275,201412,55001
미국,275,201501,50896
미국,275,201502,48728
미국,275,201503,66755
미국,275,201504,80120
미국,275,201505,70891
미국,275,201506,62550
미국,275,201507,62627
미국,275,201508,63522
미국,275,201509,63793
미국,275,201510,77878
미국,275,201511,62273
미국,275,201512,57580
미국,275,201601,55739
미국,275,201602,50705
미국,275,201603,68719
미국,275,201604,81439
미국,275,201605,80489
미국,275,201606,88276
미국,275,201607,78526
미국,275,201608,69434
미국,275,201609,75736
미국,275,201610,82885
미국,275,201611,67641
미국,275,201612,66597
미국,275,201701,57212
미국,275,201702,52732
미국,275,201703,72477
미국,275,201704,83485
미국,275,201705,76347
미국,275,201706,85955
미국,275,201707,82472
미국,275,201708,71496
미국,275,201709,70933
미국,275,201710,80000
미국,275,201711,69009
미국,275,201712,66763
미국,275,201801,59895
미국,275,201802,66049
미국,275,201803,80079
미국,275,201804,89209
미국,275,201805,84601
미국,275,201806,94742
미국,275,201807,90270
미국,275,201808,77319
미국,275,201809,78826
미국,275,201810,98103
미국,275,201811,77876
미국,275,201812,71023
미국,275,201901,62737
미국,275,201902,57732
미국,275,201903,84275
미국,275,201904,102524
미국,275,201905,95815
미국,275,201906,105398
미국,275,201907,97428
미국,275,201908,86586
미국,275,201909,90819
미국,275,201910,101099
미국,275,201911,82238
미국,275,201912,77387
미국,275,202001,67255
미국,275,202002,42439
미국,275,202003,10570
미국,275,202004,6417
미국,275,202005,8735
미국,275,202006,9717
미국,275,202007,11922
미국,275,202008,13368
미국,275,202009,12426
미국,275,202010,12366
미국,275,202011,13100
미국,275,202012,12102
